Otro lugar
Otra estancia
Principal Planta 1 BIBLIOTECA Aula ordinaria
Principal Planta 1 0.05 Aulas de pequeño grupo
Principal Planta 1 0.09 Aula ordinaria
Principal Planta 1 0.10 Aula ordinaria
Principal Planta 1 0.15 Aulas de pequeño grupo
Principal Planta 1 0.28 Aula ordinaria
Principal Planta 1 0.29 Aula ordinaria
Principal Planta 1 0.30 Aula ordinaria
Principal Planta 1 0.31 Aula ordinaria
Principal Planta 1 0.32 Aula ordinaria
Principal Planta 1 0.36 Aula ordinaria
Principal Planta 1 0.37 Aula ordinaria
Principal Planta 1 0.38 Aula ordinaria
Principal Planta 1 0.39 Aula ordinaria
Principal Planta 2 1.01 Laboratorio
Principal Planta 2 1.02 Aula ordinaria
Principal Planta 2 1.04 Aula ordinaria
Principal Planta 2 1.05 Aula ordinaria
Principal Planta 2 1.07 Aula ordinaria
Principal Planta 2 1.08 Aula ordinaria
Principal Planta 2 1.10 Aula ordinaria
Principal Planta 2 1.11 Aula ordinaria
Principal Planta 2 1.18 Aula ordinaria
Principal Planta 2 1.22 Aula ordinaria
Principal Planta 2 1.24 Aula ordinaria
Principal Planta 2 1.25 Aula ordinaria
Principal Planta 2 1.26 Aula ordinaria
Principal Planta 2 1.30 Aula ordinaria
Principal Planta 2 1.31 Aula ordinaria
Principal Planta 2 1.32 Aula ordinaria
Principal Planta 2 1.33 Aula ordinaria
Principal Planta 3 2.04 Aula ordinaria
Principal Planta 3 2.06 Aula ordinaria
Principal Planta 3 2.07 Aula ordinaria
Principal Planta 3 2.08 Aula ordinaria
Principal Planta 3 2.12 Aula ordinaria
Principal Planta 3 2.13 Aula ordinaria
Principal Planta 3 2.14 Aula ordinaria
Principal Planta 3 2.15 Aula ordinaria
Principal Planta 4 S.05 Aula ordinaria
Principal Planta 4 S.08 Aula ordinaria
Principal Planta 4 TIC1 Aula ordinaria
Automoción Planta 1 T.02 Aula ordinaria
Automoción Planta 1 T.03 Aula ordinaria
Automoción Planta 1 T.04 Aula ordinaria
Automoción Planta 1 T.05 Taller
Automoción Planta 1 T.06 Taller
Automoción Planta 1 T.07 Taller
Automoción Planta 1 T.13 Taller
Automoción Planta 1 T.14 Taller
Nuevo Planta 1 BP1 Aula ordinaria
Nuevo Planta 1 BP2 Aula ordinaria
Nuevo Planta 1 B1 Aula ordinaria
Nuevo Planta 1 B2 Aula ordinaria
Nuevo Planta 1 B3 Aula ordinaria
Nuevo Planta 1 B4 Aula ordinaria
Nuevo Planta 2 BP3 Aula ordinaria
Nuevo Planta 2 BP4 Aula ordinaria
Nuevo Planta 2 B5 Aula ordinaria
Nuevo Planta 2 B6 Aula ordinaria
Nuevo Planta 2 B7 Aula ordinaria
Nuevo Planta 2 B8 Aula ordinaria
Gim Planta 1 ALMACEN Almacén
Gim Planta 1 E.31 Aula ordinaria
Gim Planta 1 E.32 Aula ordinaria
Gim Planta 1 E.33 Aula ordinaria
Gim Planta 1 GIM Gimnasio
Gim Planta 1 TALLER DE INFORMÁTICA Aula ordinaria
Gim Planta 1 TIC2 Aula ordinaria
